NOMS	((1, ('Résidences-Châtenois', 'N')), 1)
NOMS	((1, ('Petit', 'N')), 1)
NOMS	((1, ('Reisser', 'N')), 1)
NOMS	((1, ('catégorie', 'N')), 1)
NOMS	((1, ('Hogard', 'N')), 1)
NOMS	((1, ('flévillois', 'A')), 1)
NOMS	((1, ('Conroix', 'N')), 1)
NOMS	((1, ('19-0', 'N')), 1)
NOMS	((-1, ('Michelle', 'N')), 1)
NOMS	((-1, ('6-12', 'N')), 1)
NOMS	((1, ('Beyer', 'N')), 1)
NOMS	((1, ('Haton', 'N')), 1)
NOMS	((-1, ('affiche', 'N')), 1)
NOMS	((1, ('gay', 'A')), 1)
NOMS	((1, ('Garret', 'N')), 1)
NOMS	((1, ('POPULAIRE', 'N')), 1)
NOMS	((1, ('tantôt', 'N')), 1)
NOMS	((-1, ('calendrier', 'N')), 1)
NOMS	((-1, ('dieu', 'N')), 1)
NOMS	((-1, ('RELEVE', 'N')), 1)
NOMS	((1, ('Beaudoin', 'N')), 1)
NOMS	((1, ('Binétruy-Simonin', 'N')), 1)
NOMS	((1, ('délétère', 'A')), 1)
NOMS	((-1, ('débutante', 'N')), 1)
NOMS	((-1, ('résident', 'A')), 1)
NOMS	((-1, ('député', 'N')), 1)
NOMS	((1, ('jeudi', 'N')), 1)
NOMS	((-1, ('Eline', 'N')), 1)
NOMS	((1, ('NANCY.-', 'N')), 1)
NOMS	((1, ('Vogetta', 'N')), 1)
NOMS	((-1, ('symbolique', 'A')), 1)
NOMS	((-1, ('Libre', 'N')), 1)
NOMS	((1, ('Lescure', 'N')), 1)
NOMS	((1, ('famillial', 'A')), 1)
NOMS	((-1, ('Mouthe', 'N')), 1)
NOMS	((-1, ('RÉGIONALES', 'N')), 1)
NOMS	((1, ('Metz-Nancy', 'N')), 1)
NOMS	((1, ('routier', 'A')), 1)
NOMS	((-1, ('11e', 'N')), 1)
NOMS	((-1, ('derby', 'N')), 1)
NOMS	((1, ('Alain', 'N')), 1)
NOMS	((1, ('Dautheville', 'N')), 1)
NOMS	((1, ('motoriser', 'V')), 1)
NOMS	((-1, ('NOIDANS-LE-FERROUX', 'N')), 1)
NOMS	((-1, ('décembre', 'N')), 1)
NOMS	((1, ('miracle', 'N')), 1)
NOMS	((-1, ('Saïd', 'N')), 1)
NOMS	((1, ('encaisser', 'V')), 1)
NOMS	((1, ('Tréteault', 'N')), 1)
NOMS	((1, ('Zanoto', 'N')), 1)
NOMS	((1, ('Delagoutte', 'N')), 1)
NOMS	((1, ('Jolle', 'N')), 1)
NOMS	((1, ('manuvrèrent', 'ADV')), 1)
NOMS	((1, ('Forestiers', 'N')), 1)
NOMS	((1, ('206e', 'A')), 1)
NOMS	((1, ('blues', 'N')), 1)
NOMS	((1, ('Aubert', 'N')), 1)
NOMS	((-1, ('qualificatif', 'A')), 1)
NOMS	((1, ('industrie', 'N')), 1)
NOMS	((1, ('Bettini', 'N')), 1)
NOMS	((-1, ('E.D.F.', 'N')), 1)
NOMS	((1, ('audacieux', 'A')), 1)
NOMS	((-1, ('féroce', 'A')), 1)
NOMS	((1, ('paroissial', 'A')), 1)
NOMS	((1, ('Denni', 'N')), 1)
NOMS	((-1, ('procureur', 'N')), 1)
NOMS	((1, ('Boroillot', 'N')), 1)
NOMS	((-1, ('athlé', 'V')), 1)
NOMS	((1, ('ressasser', 'V')), 1)
NOMS	((1, ('Lure-Héricourt', 'N')), 1)
NOMS	((1, ('Gallois', 'N')), 1)
NOMS	((1, ('Sibaï', 'N')), 1)
NOMS	((-1, ('Berg', 'N')), 1)
NOMS	((1, ('Hacquard', 'N')), 1)
NOMS	((-1, ('doyenné', 'N')), 1)
NOMS	((1, ('Collignon', 'N')), 1)
NOMS	((1, ('Villaume', 'A')), 1)
NOMS	((-1, ('Souphanh', 'N')), 1)
NOMS	((1, ('sixième', 'A')), 1)
NOMS	((1, ('briquer', 'A')), 1)
NOMS	((1, ('CHATS', 'N')), 1)
NOMS	((1, ('Roche', 'N')), 1)
NOMS	((1, ('Viana', 'N')), 1)
NOMS	((1, ('confidentiel', 'A')), 1)
NOMS	((-1, ('1.000', 'N')), 1)
NOMS	((1, ('contractuel', 'A')), 1)
NOMS	((-1, ('rÉunion', 'N')), 1)
NOMS	((1, ('groupe', 'N')), 1)
NOMS	((-1, ('soixante-dix', 'N')), 1)
NOMS	((1, ('pil', 'A')), 1)
NOMS	((1, ('Rundstadler', 'N')), 1)
NOMS	((1, ('Tison', 'N')), 1)
NOMS	((1, ('cuire', 'A')), 1)
NOMS	((1, ('E3', 'A')), 1)
NOMS	((1, ('Burte', 'N')), 1)
NOMS	((-1, ("Prud'", 'N')), 1)
NOMS	((1, ('AGE', 'N')), 1)
NOMS	((1, ('Noto', 'N')), 1)
NOMS	((1, ('aubois', 'A')), 1)
NOMS	((1, ('agrémenter', 'V')), 1)
NOMS	((-1, ('garer', 'V')), 1)
NOMS	((1, ('Torpille', 'N')), 1)
NOMS	((-1, ('déodatien', 'N')), 1)
NOMS	((-1, ('Angéline', 'N')), 1)
NOMS	((1, ('comédie', 'N')), 1)
NOMS	((-1, ('CRAM', 'N')), 1)
NOMS	((1, ('Richy', 'N')), 1)
NOMS	((1, ('Moulin', 'N')), 1)
NOMS	((-1, ('Rhona', 'N')), 1)
NOMS	((1, ('lyre', 'N')), 1)
NOMS	((1, ('Cédex', 'N')), 1)
NOMS	((-1, ('etre', 'N')), 1)
NOMS	((-1, ('NONO-', 'N')), 1)
NOMS	((1, ('moniteur', 'N')), 1)
NOMS	((1, ('archéen', 'A')), 1)
NOMS	((1, ('intégrer', 'A')), 1)
NOMS	((1, ('CHALONS-EN-CHAMPAGNE.-', 'N')), 1)
NOMS	((1, ('Chalnot', 'N')), 1)
NOMS	((1, ('Lacote', 'N')), 1)
NOMS	((-1, ('FACULTY', 'N')), 1)
NOMS	((1, ('High', 'N')), 1)
NOMS	((-1, ('Allez', 'N')), 1)
NOMS	((-1, ('amorcer', 'V')), 1)
NOMS	((-1, ("'", 'N')), 1)
NOMS	((1, ('controverser', 'V')), 1)
NOMS	((1, ('Louvet', 'N')), 1)
NOMS	((1, ('MANICOURT', 'N')), 1)
NOMS	((1, ('Crestani', 'N')), 1)
NOMS	((1, ('ivre', 'A')), 1)
NOMS	((-1, ('titulaire', 'N')), 1)
NOMS	((1, ('aéromobile', 'ADV')), 1)
NOMS	((1, ('lumière', 'N')), 1)
NOMS	((-1, ('Ray', 'N')), 1)
NOMS	((1, ('remporter', 'V')), 1)
NOMS	((1, ('terminal', 'A')), 1)
NOMS	((1, ('grenier', 'N')), 1)
NOMS	((-1, ('mine', 'N')), 1)
NOMS	((1, ('Hassoux', 'N')), 1)
NOMS	((1, ('Gondrexon', 'N')), 1)
NOMS	((1, ('Albrecht', 'N')), 1)
NOMS	((1, ('Davis', 'N')), 1)
NOMS	((1, ('Corti', 'N')), 1)
NOMS	((-1, ('François-Théodore', 'N')), 1)
NOMS	((1, ('CAO', 'N')), 1)
NOMS	((-1, ('Maud', 'N')), 1)
NOMS	((-1, ('super', 'N')), 1)
NOMS	((1, ('Sturm', 'N')), 1)
NOMS	((1, ('Basler', 'N')), 1)
NOMS	((1, ('Patin', 'N')), 1)
NOMS	((1, ('avenir', 'N')), 1)
NOMS	((1, ('Bénédini', 'N')), 1)
NOMS	((1, ('Vigon-Gerlier', 'N')), 1)
NOMS	((1, ('Otiz', 'N')), 1)
NOMS	((1, ('intérieur', 'A')), 1)
NOMS	((-1, ('Montreux', 'N')), 1)
NOMS	((1, ('Albertin', 'N')), 1)
NOMS	((1, ('victoire', 'N')), 1)
NOMS	((1, ('Daucourt', 'N')), 1)
NOMS	((1, ('Peugeot-Citroen', 'N')), 1)
NOMS	((1, ('APRELOR', 'N')), 1)
NOMS	((1, ('Zussy', 'N')), 1)
NOMS	((1, ('décentraliser', 'A')), 1)
NOMS	((1, ('palais', 'N')), 1)
NOMS	((1, ('cérémonie', 'N')), 1)
NOMS	((1, ('Sivom', 'N')), 1)
NOMS	((1, ('Hannedouche', 'N')), 1)
NOMS	((1, ('Metaye', 'N')), 1)
NOMS	((1, ('Lerrousseau', 'N')), 1)
NOMS	((1, ('ensoleiller', 'A')), 1)
NOMS	((-1, ('Eirik', 'N')), 1)
NOMS	((-1, ('Jannick', 'N')), 1)
NOMS	((1, ('m.p.', 'ADV')), 1)
NOMS	((-1, ('fastidieux', 'A')), 1)
NOMS	((1, ('caritatif', 'A')), 1)
NOMS	((1, ('réunir', 'V')), 1)
NOMS	((1, ('interdépartemental', 'A')), 1)
NOMS	((1, ('montrer', 'V')), 1)
NOMS	((-1, ('1.250', 'A')), 1)
NOMS	((-1, ('folklore', 'N')), 1)
NOMS	((-1, ('axe', 'N')), 1)
NOMS	((-1, ('Strasbourgeois', 'N')), 1)
NOMS	((-1, ('EDF-', 'N')), 1)
NOMS	((-1, ('biscuit', 'N')), 1)
NOMS	((1, ('flash', 'A')), 1)
NOMS	((1, ('reconstituer', 'V')), 1)
NOMS	((-1, ('assurance', 'N')), 1)
NOMS	((-1, ('collecteur', 'N')), 1)
NOMS	((-1, ('Moya', 'N')), 1)
NOMS	((-1, ('Astrid', 'N')), 1)
NOMS	((1, ('flatteur', 'A')), 1)
NOMS	((-1, ('Calvin', 'N')), 1)
NOMS	((1, ('Vanson', 'N')), 1)
NOMS	((1, ('saurer', 'V')), 1)
NOMS	((1, ('Mermoz', 'N')), 1)
NOMS	((-1, ('Yusuke', 'N')), 1)
NOMS	((-1, ('information', 'A')), 1)
NOMS	((1, ('Auto', 'N')), 1)
NOMS	((1, ('Ambroziak', 'N')), 1)
NOMS	((1, ('Jules-Ferry', 'N')), 1)
NOMS	((1, ('Gautrot', 'N')), 1)
NOMS	((1, ('Mercier', 'N')), 1)
NOMS	((-1, ('SOS', 'N')), 1)
NOMS	((-1, ('10-15', 'A')), 1)
NOMS	((1, ('Vermeil', 'N')), 1)
NOMS	((1, ('Guenois', 'N')), 1)
NOMS	((1, ('Vidémont', 'N')), 1)
NOMS	((-1, ('Suaran', 'N')), 1)
NOMS	((1, ('élite', 'N')), 1)
